date,sentiment_score
2013-07-12,-0.2879717227603708
2013-07-13,-0.6465839743614197
2013-07-15,0.23369907774031162
2013-07-16,0.06797390431165695
2013-07-17,-0.03449850922657384
2013-07-18,0.07920709438621998
2013-07-19,0.01136232390999794
2013-07-21,0.2210835963487625
2013-07-22,0.28246394358575344
2013-07-23,0.1759301559491591
2013-07-24,0.11596939638257027
2013-07-25,0.019508661871606655
2013-07-26,-0.023175108645643507
2013-07-29,-0.25964722658197087
2013-07-30,0.3609939844657977
2013-07-31,-0.10540401852793163
2013-08-01,0.41680776983823464
2013-08-02,-0.09876161813735962
2013-08-04,0.14705848693847656
2013-08-05,0.3013406991958618
2013-08-06,0.49746842542663217
2013-08-07,0.5282143158838153
2013-08-08,0.26281389659270643
2013-08-09,0.3118887526914477
